ip address,mac address,vendor,sort
10.10.5.106,28:d2:44:c8:34:c2,"LCFC(HeFei) Electronics Technology Co., Ltd.",local
10.10.5.0,44:8a:5b:df:25:ce,"Micro-Star INT'L CO., LTD.",remote
10.10.4.1,70:54:f5:9b:c2:fa,"HUAWEI TECHNOLOGIES CO.,LTD",gateway
10.10.4.2,64:09:80:0e:9c:ca,Xiaomi Communications Co Ltd,remote
10.10.4.4,c0:56:e3:94:08:87,"Hangzhou Hikvision Digital Technology Co.,Ltd.",remote
10.10.4.5,44:19:b6:6d:24:68,"Hangzhou Hikvision Digital Technology Co.,Ltd.",remote
10.10.4.7,c0:56:e3:94:08:8f,"Hangzhou Hikvision Digital Technology Co.,Ltd.",remote
10.10.4.8,c0:56:e3:12:90:e4,"Hangzhou Hikvision Digital Technology Co.,Ltd.",remote
10.10.4.22,00:e0:4c:54:4f:16,REALTEK SEMICONDUCTOR CORP.,remote
10.10.4.45,ec:26:ca:a3:6e:bb,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.4.56,44:8a:5b:c9:21:a5,"Micro-Star INT'L CO., LTD.",remote
10.10.5.60,e0:d5:5e:10:0f:7e,"GIGA-BYTE TECHNOLOGY CO.,LTD.",remote
10.10.4.62,44:8a:5b:c9:23:38,"Micro-Star INT'L CO., LTD.",remote
10.10.4.68,10:7b:44:18:d8:2f,ASUSTek COMPUTER INC.,remote
10.10.5.84,70:5a:0f:48:00:f9,Hewlett Packard,remote
10.10.5.90,70:5a:0f:3f:7d:2d,Hewlett Packard,remote
10.10.5.92,70:5a:0f:42:6a:6c,Hewlett Packard,remote
10.10.4.110,90:02:a9:91:e9:92,"Zhejiang Dahua Technology Co., Ltd.",remote
10.10.5.114,24:69:68:70:38:e9,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.4.127,2c:4d:54:bc:dd:68,ASUSTek COMPUTER INC.,remote
10.10.5.130,24:69:68:6f:81:55,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.4.146,28:f1:0e:05:04:55,Dell Inc.,remote
10.10.5.147,c0:3f:d5:bd:df:b6,"Elitegroup Computer Systems Co.,Ltd.",remote
10.10.4.153,94:d9:b3:2c:e9:76,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.4.191,10:78:d2:dd:c6:80,"Elitegroup Computer Systems Co.,Ltd.",remote
10.10.5.195,c0:3f:d5:bd:c7:db,"Elitegroup Computer Systems Co.,Ltd.",remote
10.10.4.200,fc:45:96:8e:05:6d,"COMPAL INFORMATION (KUNSHAN) CO., LTD. ",remote
10.10.4.217,44:8a:5b:c9:23:6a,"Micro-Star INT'L CO., LTD.",remote
10.10.4.226,40:8d:5c:18:ea:83,"GIGA-BYTE TECHNOLOGY CO.,LTD.",remote
10.10.5.240,1c:1b:0d:6f:ea:19,"GIGA-BYTE TECHNOLOGY CO.,LTD.",remote
10.10.5.241,a8:57:4e:2f:3d:ab,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.5.242,1c:fa:68:df:bc:39,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.5.244,a8:57:4e:2f:4d:ff,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.4.245,d0:50:99:4b:fd:2d,ASRock Incorporation,remote
10.10.5.247,50:bd:5f:3b:99:9d,"TP-LINK TECHNOLOGIES CO.,LTD.",remote
10.10.5.248,70:ca:9b:ce:43:f3,"Cisco Systems, Inc",remote
10.10.5.249,40:8d:5c:12:76:4a,"GIGA-BYTE TECHNOLOGY CO.,LTD.",remote
10.10.4.252,1c:1b:0d:25:ce:47,"GIGA-BYTE TECHNOLOGY CO.,LTD.",remote
